"Speaker","Text","Page","speaker_id"
"Justus","Erstens haben wir den Kater gefunden und zweitens werden wir","6","2"
"Justus","von Mrs Summer erwartet.","6","2"
"Mr Art","Ich vermute eher, dass ihr nur auf eine Belohnung aus seid.","6","-1"
"Peter","Was fällt Ihnen ein! Wir verlangen von unseren Klienten","6","3"
"Peter","grundsätzlich kein Honorar!","6","3"
"Mr Art","Das ist nicht unbedingt dasselbe. Aber tut, was ihr nicht lassen","6","-1"
"Mr Art","könnt. Ich bring das Tier ins Haus.","6","-1"
"Justus","Kommt, Kollegen!","6","2"
"REGIE","*Schritte*","6","0"
"Justus","Da, eine Frau kommt aus dem Haus.","7","2"
"Bob","Das muss Milva Summer sein. Sie läuft zu Mr Art.","7","4"
"REGIE","*Mrs Summer weint*","7","0"
"Peter","Ich möchte jetzt nicht in ihrer Haut stecken.","7","3"
"Bob","Das ist ja schrecklich.","7","4"
"Justus","Kollegen, das Gesicht dieser Frau dort, das habe ich heute","7","2"
"Justus","schon einmal gesehen!","7","2"
"Peter","Was?","7","3"
"Justus","Wir kennen sie bereits alle drei! Von dem Foto in der ""Los","7","2"
"Justus","Angeles Post""! Diese Frau dort ist Donna Carrington, die","7","2"
"Justus","Astrologin, die es eigentlich gar nicht gibt!","7","2"
"Mrs Summer","*weinend* Er ist tot!","7","1205"
"Mr Art","Meinen Sie, es wäre sinnvoll, die Polizei zu verständigen, Mrs","7","-1"
"Mr Art","Summer?","7","-1"
"Mrs Summer","Nicht jetzt, Mr Art. Nicht jetzt. Geben Sie mir ""Come In""! Bitte","7","1205"
"Mrs Summer","lassen Sie uns allein.","7","1205"
"Mr Art","Sehr wohl, Madam.","7","-1"
"Mrs Summer","Kommt mit!","7","1205"
"Justus und Bob","Ja.","7","-1"
"REGIE","*Schritte; Tür wird geöffnet und geschlossen*","7","0"
"Mrs Summer","Hier ins Kaminzimmer. Setzt euch doch.","7","1205"
"Peter","Danke.","7","3"
"Erzähler","Bevor sich Mrs Summer zu den drei Detektiven an den Tisch","7","574"
"Erzähler","setzte, ging sie auf einen Katzenkorb zu, der vor dem Kamin","7","574"
"Erzähler","stand. Vorsichtig bettete sie den Körper von ""Come In"" hinein,","7","574"
"Erzähler","faltete ein weißes Spitzendeckchen auseinander und legte es","7","574"
"Erzähler","sanft über das Tier.","7","574"
"Mrs Summer","Bei mir dreht sich alles. Ich weiß gar nicht, was ich machen soll.","7","1205"
"Bob","Möchten Sie denn vielleicht lieber alleine sein?","8","4"
"Mrs Summer","Nein, nein! Es ist gut, dass ihr da seid.","8","1205"
"Bob","Gut. Gut.","8","4"
"Mrs Summer","Wer auch immer für den Tod meines Lieblings verantwortlich ist,","8","1205"
"Mrs Summer","spürt diese menschliche Bestie auf!","8","1205"
"Justus","Wir werden uns die größte Mühe geben, Madam. Zunächst","8","2"
"Justus","erlauben Sie mir aber bitte eine andere Frage. Sie sehen einer","8","2"
"Justus","Person, deren Gesicht wir bisher nur aus der ""Los Angeles Post""","8","2"
"Justus","kannten, frappierend ähnlich.","8","2"
"Bob","*lachend* Ja.","8","4"
"Justus","Diese Dame nennt sich Donna Carrington und ist laut Aussage","8","2"
"Justus","der Zeitung eine bekannte -","8","2"
"Mrs Summer","- Astrologin. Astrologin. Ich weiß. Und ich sehe dieser Person","8","1205"
"Mrs Summer","nicht nur ähnlich. Milva Summer alias Donna Carrington sitzt vor","8","1205"
"Mrs Summer","euch.","8","1205"
"Alle","Ach!","8","-1"
